,session_start,session_end
0,2017-01-04 05:30:00,2017-01-04 05:50:00
1,2017-01-04 06:05:00,2017-01-04 06:10:00
2,2017-01-06 23:50:00,2017-01-06 23:50:00
3,2017-01-07 00:00:00,2017-01-07 00:00:00
4,2017-01-08 05:10:00,2017-01-08 05:20:00
5,2017-01-12 13:10:00,2017-01-12 13:10:00
6,2017-01-18 04:00:00,2017-01-18 04:05:00
7,2017-01-19 08:55:00,2017-01-19 09:55:00
8,2017-01-19 11:20:00,2017-01-19 11:30:00
9,2017-01-20 04:40:00,2017-01-20 05:00:00
10,2017-01-20 05:10:00,2017-01-20 05:10:00
11,2017-01-20 05:20:00,2017-01-20 05:25:00
12,2017-01-22 23:25:00,2017-01-23 00:50:00
13,2017-01-23 01:40:00,2017-01-23 08:15:00
14,2017-01-23 08:45:00,2017-01-23 08:45:00
15,2017-01-23 09:00:00,2017-01-23 09:00:00
16,2017-01-23 10:10:00,2017-01-23 10:10:00
17,2017-01-23 13:05:00,2017-01-23 16:50:00
18,2017-01-23 17:00:00,2017-01-23 17:00:00
19,2017-01-23 17:10:00,2017-01-23 17:10:00
20,2017-01-23 17:20:00,2017-01-23 17:20:00
21,2017-01-23 17:30:00,2017-01-23 17:30:00
22,2017-01-23 17:45:00,2017-01-23 17:45:00
23,2017-01-23 19:10:00,2017-01-23 19:10:00
24,2017-01-25 01:00:00,2017-01-25 01:05:00
25,2017-01-25 16:20:00,2017-01-25 18:20:00
26,2017-01-26 09:15:00,2017-01-26 14:25:00
27,2017-01-26 14:35:00,2017-01-26 14:45:00
28,2017-01-26 15:00:00,2017-01-26 15:00:00
29,2017-01-26 15:10:00,2017-01-26 15:10:00
30,2017-01-26 15:25:00,2017-01-26 15:25:00
31,2017-01-28 16:45:00,2017-01-28 17:50:00
32,2017-01-28 18:05:00,2017-01-28 18:05:00
33,2017-01-29 00:40:00,2017-01-29 00:40:00
34,2017-01-29 14:30:00,2017-01-29 14:30:00
35,2017-01-31 05:20:00,2017-01-31 05:20:00
36,2017-01-31 05:30:00,2017-01-31 05:45:00
37,2017-01-31 06:05:00,2017-01-31 06:05:00
38,2017-01-31 06:25:00,2017-01-31 06:25:00
39,2017-02-01 12:55:00,2017-02-01 13:45:00
40,2017-02-01 14:00:00,2017-02-01 14:00:00
41,2017-02-01 15:20:00,2017-02-01 15:50:00
42,2017-02-08 07:10:00,2017-02-08 07:45:00
43,2017-02-11 08:50:00,2017-02-11 08:50:00
44,2017-02-14 13:30:00,2017-02-14 13:30:00
45,2017-02-16 13:00:00,2017-02-16 13:15:00
46,2017-02-19 17:20:00,2017-02-19 17:25:00
47,2017-02-20 11:20:00,2017-02-20 11:20:00
48,2017-02-20 11:30:00,2017-02-20 11:35:00
49,2017-02-20 11:50:00,2017-02-20 11:55:00
50,2017-02-22 12:35:00,2017-02-22 12:50:00
51,2017-02-23 06:30:00,2017-02-23 06:30:00
52,2017-02-23 06:45:00,2017-02-23 06:45:00
53,2017-02-23 23:25:00,2017-02-23 23:25:00
54,2017-02-24 11:15:00,2017-02-24 11:20:00
55,2017-02-24 15:10:00,2017-02-24 15:10:00
56,2017-02-24 18:50:00,2017-02-24 18:50:00
57,2017-02-24 19:25:00,2017-02-24 19:25:00
58,2017-02-24 20:20:00,2017-02-24 20:20:00
59,2017-02-24 20:40:00,2017-02-24 20:40:00
60,2017-02-24 20:50:00,2017-02-24 21:10:00
61,2017-02-24 22:25:00,2017-02-24 22:25:00
62,2017-02-24 22:35:00,2017-02-24 23:05:00
63,2017-02-25 03:30:00,2017-02-25 03:30:00
64,2017-02-25 15:15:00,2017-02-25 15:20:00
65,2017-02-25 15:30:00,2017-02-25 15:40:00
66,2017-02-25 15:50:00,2017-02-25 15:55:00
67,2017-02-25 16:40:00,2017-02-25 16:40:00
68,2017-02-25 16:50:00,2017-02-25 16:55:00
69,2017-02-25 18:40:00,2017-02-25 18:40:00
70,2017-02-25 21:10:00,2017-02-25 21:30:00
71,2017-02-25 21:50:00,2017-02-25 21:50:00
72,2017-02-26 20:50:00,2017-02-26 20:55:00
73,2017-02-27 01:50:00,2017-02-27 02:10:00
74,2017-03-01 07:15:00,2017-03-01 07:15:00
75,2017-03-01 07:55:00,2017-03-01 07:55:00
76,2017-03-01 08:50:00,2017-03-01 08:50:00
77,2017-03-01 14:15:00,2017-03-01 14:15:00
78,2017-03-01 14:30:00,2017-03-01 14:30:00
79,2017-03-02 01:40:00,2017-03-02 01:40:00
80,2017-03-02 01:50:00,2017-03-02 08:10:00
81,2017-03-02 15:35:00,2017-03-02 15:35:00
82,2017-03-02 19:10:00,2017-03-02 19:15:00
83,2017-03-02 19:25:00,2017-03-02 19:25:00
84,2017-03-02 19:35:00,2017-03-02 19:35:00
85,2017-03-03 07:10:00,2017-03-03 07:10:00
86,2017-03-03 07:40:00,2017-03-03 07:40:00
87,2017-03-03 17:10:00,2017-03-03 17:10:00
88,2017-03-03 21:00:00,2017-03-03 21:05:00
89,2017-03-03 21:35:00,2017-03-03 21:40:00
90,2017-03-03 21:50:00,2017-03-03 22:30:00
91,2017-03-05 23:55:00,2017-03-05 23:55:00
92,2017-03-06 05:45:00,2017-03-06 05:45:00
93,2017-03-06 17:30:00,2017-03-06 17:30:00
94,2017-03-07 20:40:00,2017-03-07 23:15:00
95,2017-03-08 00:00:00,2017-03-08 00:05:00
96,2017-03-08 00:20:00,2017-03-08 00:30:00
97,2017-03-08 00:40:00,2017-03-08 00:45:00
98,2017-03-08 02:00:00,2017-03-08 02:30:00
99,2017-03-10 16:35:00,2017-03-10 16:45:00
100,2017-03-10 17:45:00,2017-03-10 17:45:00
101,2017-03-10 20:45:00,2017-03-10 20:45:00
102,2017-03-12 03:35:00,2017-03-12 04:50:00
103,2017-03-14 10:55:00,2017-03-14 10:55:00
104,2017-03-14 11:05:00,2017-03-14 11:35:00
105,2017-03-14 17:40:00,2017-03-14 17:40:00
106,2017-03-16 18:20:00,2017-03-16 18:25:00
107,2017-03-16 22:40:00,2017-03-16 22:50:00
108,2017-03-16 23:00:00,2017-03-16 23:00:00
109,2017-03-17 12:45:00,2017-03-17 12:45:00
110,2017-03-18 22:25:00,2017-03-18 22:25:00
111,2017-03-19 16:25:00,2017-03-19 16:25:00
112,2017-03-19 17:35:00,2017-03-19 18:00:00
113,2017-03-20 22:15:00,2017-03-20 22:20:00
114,2017-03-20 22:35:00,2017-03-20 22:35:00
115,2017-03-21 03:05:00,2017-03-25 01:45:00
116,2017-03-25 01:55:00,2017-03-25 07:25:00
117,2017-03-25 09:35:00,2017-03-25 10:50:00
118,2017-03-25 15:25:00,2017-03-25 15:25:00
119,2017-03-25 15:40:00,2017-03-25 15:45:00
120,2017-03-25 16:00:00,2017-03-25 16:00:00
121,2017-03-26 01:20:00,2017-03-26 02:20:00
122,2017-03-26 02:45:00,2017-03-26 02:45:00
123,2017-03-26 03:10:00,2017-03-26 03:10:00
124,2017-03-26 21:25:00,2017-03-26 21:30:00
125,2017-03-26 21:40:00,2017-03-26 21:40:00
126,2017-03-27 12:05:00,2017-03-27 12:15:00
127,2017-03-27 12:25:00,2017-03-27 12:25:00
128,2017-03-29 21:40:00,2017-03-29 22:25:00
129,2017-03-30 09:05:00,2017-03-30 09:05:00
130,2017-03-30 12:10:00,2017-03-30 12:10:00
131,2017-03-30 20:55:00,2017-03-31 00:10:00
132,2017-03-31 00:25:00,2017-03-31 00:40:00
133,2017-03-31 01:25:00,2017-03-31 01:25:00
134,2017-03-31 04:00:00,2017-03-31 04:10:00
135,2017-03-31 04:30:00,2017-03-31 04:30:00
136,2017-03-31 05:10:00,2017-03-31 05:10:00
137,2017-03-31 05:30:00,2017-03-31 05:30:00
138,2017-03-31 09:05:00,2017-03-31 09:05:00
139,2017-03-31 09:15:00,2017-03-31 09:15:00
140,2017-04-02 03:50:00,2017-04-02 03:50:00
141,2017-04-02 04:45:00,2017-04-02 04:45:00
142,2017-04-02 05:35:00,2017-04-02 05:35:00
143,2017-04-02 05:45:00,2017-04-02 05:50:00
144,2017-04-02 06:35:00,2017-04-02 06:35:00
145,2017-04-02 07:05:00,2017-04-02 07:05:00
146,2017-04-02 07:20:00,2017-04-02 07:20:00
147,2017-04-02 07:30:00,2017-04-02 07:30:00
148,2017-04-02 07:55:00,2017-04-02 07:55:00
149,2017-04-02 15:10:00,2017-04-02 15:15:00
150,2017-04-02 16:05:00,2017-04-02 16:05:00
151,2017-04-02 17:20:00,2017-04-02 17:20:00
152,2017-04-02 18:25:00,2017-04-02 18:25:00
153,2017-04-02 18:35:00,2017-04-02 18:35:00
154,2017-04-02 18:55:00,2017-04-02 18:55:00
155,2017-04-02 20:05:00,2017-04-02 20:05:00
156,2017-04-02 20:30:00,2017-04-02 20:35:00
157,2017-04-02 22:05:00,2017-04-02 22:05:00
158,2017-04-02 22:35:00,2017-04-02 22:35:00
159,2017-04-02 22:50:00,2017-04-02 22:50:00
160,2017-04-02 23:55:00,2017-04-02 23:55:00
