,time,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft,year,month,anomaly
535,2017-01-02 20:35:00,997.01,985.07,-189.72,-194.0,928.78,-145.36,2017,1,-1
930,2017-01-04 05:30:00,800.05,844.06,-87.79,-90.94,778.81,-64.97,2017,1,-1
931,2017-01-04 05:35:00,909.47,897.36,-79.87,-92.26,841.75,-62.74,2017,1,-1
932,2017-01-04 05:40:00,895.68,935.48,-82.56,-85.05,853.94,-68.29,2017,1,-1
933,2017-01-04 05:45:00,910.73,900.23,-105.15,-104.13,848.56,-84.33,2017,1,-1
934,2017-01-04 05:50:00,921.1,908.25,-116.7,-103.82,848.24,-93.53,2017,1,-1
935,2017-01-04 05:55:00,920.0,943.9,-149.21,-124.49,863.19,-118.14,2017,1,-1
937,2017-01-04 06:05:00,995.39,972.43,-175.79,-160.83,928.06,-133.55,2017,1,-1
938,2017-01-04 06:10:00,972.6,996.36,-167.49,-152.36,924.32,-133.75,2017,1,-1
1726,2017-01-06 23:50:00,1007.18,951.46,-274.52,-255.59,916.57,-251.99,2017,1,-1
2078,2017-01-08 05:10:00,821.22,884.09,-140.7,-137.48,820.58,-116.55,2017,1,-1
2079,2017-01-08 05:15:00,839.22,828.04,-112.57,-108.59,795.98,-88.06,2017,1,-1
2080,2017-01-08 05:20:00,966.54,877.71,-110.49,-113.79,894.19,-85.61,2017,1,-1
2081,2017-01-08 05:25:00,926.12,900.95,-147.85,-151.68,868.6,-117.14,2017,1,-1
3326,2017-01-12 13:10:00,874.91,899.79,-129.97,-122.45,842.74,-105.74,2017,1,-1
4944,2017-01-18 04:00:00,1085.38,983.85,-145.07,-153.58,937.08,-113.37,2017,1,-1
4945,2017-01-18 04:05:00,1045.54,1064.89,-171.37,-164.26,934.72,-137.14,2017,1,-1
5291,2017-01-19 08:55:00,813.41,857.58,-100.83,-110.54,794.27,-79.46,2017,1,-1
5292,2017-01-19 09:00:00,857.43,968.04,-47.98,-66.94,817.79,-32.77,2017,1,-1
5293,2017-01-19 09:05:00,931.66,1041.37,-65.99,-74.1,871.04,-41.58,2017,1,-1
5294,2017-01-19 09:10:00,975.07,1061.51,-72.37,-86.48,906.31,-49.8,2017,1,-1
5295,2017-01-19 09:15:00,970.17,1031.08,-98.35,-103.14,893.83,-73.0,2017,1,-1
5296,2017-01-19 09:20:00,898.61,971.16,-111.97,-113.45,858.35,-85.09,2017,1,-1
5297,2017-01-19 09:25:00,919.53,0.0,-126.58,-125.95,856.92,-94.75,2017,1,-1
5298,2017-01-19 09:30:00,919.57,0.0,-137.13,-130.29,856.56,-101.49,2017,1,-1
5299,2017-01-19 09:35:00,949.91,0.0,-145.76,-138.34,882.04,-108.68,2017,1,-1
5300,2017-01-19 09:40:00,878.66,0.0,-141.86,-135.91,845.87,-103.69,2017,1,-1
5301,2017-01-19 09:45:00,975.35,0.0,-153.94,-149.47,888.67,-118.99,2017,1,-1
5302,2017-01-19 09:50:00,932.33,800.0,-159.79,-152.63,874.16,-119.91,2017,1,-1
5303,2017-01-19 09:55:00,867.59,800.0,-161.48,-157.06,821.67,-120.85,2017,1,-1
5320,2017-01-19 11:20:00,969.13,1002.7,-165.95,-151.43,893.31,-128.56,2017,1,-1
5321,2017-01-19 11:25:00,953.99,994.88,-165.67,-155.05,887.9,-124.04,2017,1,-1
5322,2017-01-19 11:30:00,968.13,1011.11,-173.0,-164.12,900.65,-134.4,2017,1,-1
5528,2017-01-20 04:40:00,795.99,827.74,-104.24,-116.99,764.69,-77.65,2017,1,-1
5529,2017-01-20 04:45:00,860.19,861.95,-114.36,-124.79,792.31,-95.19,2017,1,-1
5530,2017-01-20 04:50:00,973.75,998.33,-109.91,-122.79,880.68,-88.03,2017,1,-1
5531,2017-01-20 04:55:00,1000.34,997.77,-122.1,-134.34,899.49,-97.64,2017,1,-1
5532,2017-01-20 05:00:00,933.32,953.84,-122.39,-125.68,854.52,-98.49,2017,1,-1
5533,2017-01-20 05:05:00,869.7,891.62,-139.17,-142.23,813.43,-111.85,2017,1,-1
5534,2017-01-20 05:10:00,998.46,971.48,-146.34,-150.37,873.42,-121.65,2017,1,-1
5535,2017-01-20 05:15:00,867.5,881.6,-149.02,-146.55,814.87,-112.83,2017,1,-1
5536,2017-01-20 05:20:00,962.98,936.73,-157.64,-158.12,861.75,-121.42,2017,1,-1
5537,2017-01-20 05:25:00,977.38,982.77,-166.66,-165.77,883.62,-135.04,2017,1,-1
5665,2017-01-20 16:05:00,961.58,1012.84,-177.09,-167.88,926.58,-139.26,2017,1,-1
6329,2017-01-22 23:25:00,1039.03,1005.39,-275.83,-277.38,917.38,-233.31,2017,1,-1
6330,2017-01-22 23:30:00,1057.17,1036.02,-251.84,-245.53,958.95,-211.66,2017,1,-1
6331,2017-01-22 23:35:00,1015.86,1016.02,-120.76,-134.14,945.89,-96.3,2017,1,-1
6332,2017-01-22 23:40:00,969.06,996.14,-96.63,-105.42,919.68,-69.16,2017,1,-1
6333,2017-01-22 23:45:00,961.26,1018.56,-73.4,-80.48,913.04,-50.29,2017,1,-1
6334,2017-01-22 23:50:00,918.12,966.32,-31.76,-42.4,884.18,-20.58,2017,1,-1
6335,2017-01-22 23:55:00,893.95,932.08,-30.28,-45.43,859.23,-20.06,2017,1,-1
6336,2017-01-23 00:00:00,866.7,902.56,-66.98,-75.2,837.33,-52.52,2017,1,-1
6337,2017-01-23 00:05:00,912.94,936.77,-67.44,-82.91,848.15,-48.86,2017,1,-1
6338,2017-01-23 00:10:00,978.14,1008.41,-65.95,-72.15,903.36,-48.86,2017,1,-1
6339,2017-01-23 00:15:00,953.34,982.47,-66.63,-76.93,873.73,-47.82,2017,1,-1
6340,2017-01-23 00:20:00,974.84,949.46,-77.82,-89.35,874.28,-57.27,2017,1,-1
6341,2017-01-23 00:25:00,970.15,933.81,-88.57,-97.83,875.99,-65.19,2017,1,-1
6342,2017-01-23 00:30:00,966.4,931.4,-100.5,-108.65,876.61,-74.0,2017,1,-1
6343,2017-01-23 00:35:00,963.96,932.54,-114.49,-119.5,887.39,-86.0,2017,1,-1
6344,2017-01-23 00:40:00,959.77,935.43,-118.52,-122.26,890.42,-87.32,2017,1,-1
6345,2017-01-23 00:45:00,954.2,934.5,-132.21,-143.24,887.55,-99.02,2017,1,-1
6346,2017-01-23 00:50:00,931.2,922.01,-145.94,-151.62,869.46,-104.8,2017,1,-1
6348,2017-01-23 01:00:00,846.53,850.55,-159.41,-159.48,805.02,-128.08,2017,1,-1
6356,2017-01-23 01:40:00,958.78,944.41,-93.82,-108.86,901.83,-75.06,2017,1,-1
6357,2017-01-23 01:45:00,924.61,959.52,-8.84,-28.29,886.23,-10.0,2017,1,-1
6358,2017-01-23 01:50:00,855.08,848.84,-37.53,-46.38,841.96,-30.27,2017,1,-1
6359,2017-01-23 01:55:00,820.9,788.07,-12.58,-30.45,803.75,-10.7,2017,1,-1
6360,2017-01-23 02:00:00,794.26,734.59,-0.14,-19.56,775.23,-2.63,2017,1,-1
6361,2017-01-23 02:05:00,786.69,722.38,9.23,-4.33,763.41,6.59,2017,1,-1
6362,2017-01-23 02:10:00,775.73,708.05,4.72,-15.17,753.75,2.35,2017,1,-1
6363,2017-01-23 02:15:00,769.63,691.05,20.54,4.48,745.29,15.19,2017,1,-1
6364,2017-01-23 02:20:00,769.14,686.87,16.15,-1.54,741.48,11.7,2017,1,-1
6365,2017-01-23 02:25:00,750.06,656.28,1.68,-16.57,729.82,0.27,2017,1,-1
6366,2017-01-23 02:30:00,725.58,617.59,4.02,-15.9,707.64,0.68,2017,1,-1
6367,2017-01-23 02:35:00,703.81,563.83,9.74,-8.22,690.28,6.78,2017,1,-1
6368,2017-01-23 02:40:00,686.8,519.25,-8.24,-25.09,673.64,-7.34,2017,1,-1
6369,2017-01-23 02:45:00,643.16,490.98,-9.93,-27.09,635.41,-7.75,2017,1,-1
6370,2017-01-23 02:50:00,613.86,470.67,-8.33,-25.91,609.7,-7.42,2017,1,-1
6371,2017-01-23 02:55:00,593.11,440.77,-6.92,-23.36,587.92,-6.88,2017,1,-1
6372,2017-01-23 03:00:00,598.86,459.13,-7.29,-24.19,581.08,-7.24,2017,1,-1
6373,2017-01-23 03:05:00,592.82,463.82,-8.8,-24.96,579.13,-6.91,2017,1,-1
6374,2017-01-23 03:10:00,571.57,424.36,-10.39,-23.81,561.75,-7.27,2017,1,-1
6375,2017-01-23 03:15:00,550.68,400.93,-6.38,-21.31,543.31,-4.6,2017,1,-1
6376,2017-01-23 03:20:00,547.85,404.06,-8.9,-21.52,533.75,-4.84,2017,1,-1
6377,2017-01-23 03:25:00,556.42,426.91,-6.72,-20.77,537.94,-6.62,2017,1,-1
6378,2017-01-23 03:30:00,548.3,420.73,-7.21,-21.76,535.34,-5.43,2017,1,-1
6379,2017-01-23 03:35:00,532.63,393.36,-14.97,-30.54,522.49,-14.29,2017,1,-1
6380,2017-01-23 03:40:00,521.99,385.99,-7.26,-20.46,512.11,-6.55,2017,1,-1
6381,2017-01-23 03:45:00,515.07,375.29,-7.11,-22.47,501.59,-6.46,2017,1,-1
6382,2017-01-23 03:50:00,510.8,373.24,-6.02,-21.12,498.51,-5.74,2017,1,-1
6383,2017-01-23 03:55:00,500.46,350.45,-6.44,-23.78,487.17,-8.31,2017,1,-1
6384,2017-01-23 04:00:00,488.02,335.71,-6.99,-22.18,475.9,-8.83,2017,1,-1
6385,2017-01-23 04:05:00,481.73,325.87,-10.26,-25.06,465.56,-7.15,2017,1,-1
6386,2017-01-23 04:10:00,492.42,356.42,-7.7,-21.83,472.95,-5.36,2017,1,-1
6387,2017-01-23 04:15:00,486.41,354.17,-9.23,-23.09,470.53,-9.04,2017,1,-1
6388,2017-01-23 04:20:00,472.69,333.41,-11.41,-23.16,457.44,-9.96,2017,1,-1
6389,2017-01-23 04:25:00,460.71,318.89,-10.15,-25.65,446.25,-11.15,2017,1,-1
6390,2017-01-23 04:30:00,450.37,307.5,-12.02,-26.14,436.5,-11.91,2017,1,-1
6391,2017-01-23 04:35:00,445.51,303.49,-9.37,-21.81,429.68,-5.06,2017,1,-1
6392,2017-01-23 04:40:00,447.9,317.7,-13.14,-26.16,431.89,-9.99,2017,1,-1
6393,2017-01-23 04:45:00,439.38,306.14,-13.25,-25.35,423.87,-11.42,2017,1,-1
6394,2017-01-23 04:50:00,431.57,294.4,11.17,-4.82,414.43,9.09,2017,1,-1
6395,2017-01-23 04:55:00,443.54,296.98,-6.64,-22.05,423.13,-7.3,2017,1,-1
6396,2017-01-23 05:00:00,440.29,285.68,-6.45,-22.94,419.57,-9.01,2017,1,-1
6397,2017-01-23 05:05:00,441.34,283.22,8.17,-8.65,418.92,4.77,2017,1,-1
6398,2017-01-23 05:10:00,469.89,311.41,13.91,-4.67,435.22,7.0,2017,1,-1
6399,2017-01-23 05:15:00,495.33,375.95,-22.78,-39.44,459.85,-22.19,2017,1,-1
6400,2017-01-23 05:20:00,493.76,397.95,2.83,-13.14,468.87,3.01,2017,1,-1
6401,2017-01-23 05:25:00,516.08,485.67,12.75,-5.01,486.43,9.57,2017,1,-1
6402,2017-01-23 05:30:00,538.9,611.51,12.57,-5.21,510.84,10.05,2017,1,-1
6403,2017-01-23 05:35:00,561.85,711.4,12.99,-5.16,534.51,10.23,2017,1,-1
6404,2017-01-23 05:40:00,583.08,777.02,11.94,-6.13,556.45,9.66,2017,1,-1
6405,2017-01-23 05:45:00,593.5,778.18,13.17,-4.88,571.54,9.73,2017,1,-1
6406,2017-01-23 05:50:00,604.99,816.95,13.22,-5.33,583.99,10.28,2017,1,-1
6407,2017-01-23 05:55:00,616.92,862.04,13.67,-1.48,598.8,10.17,2017,1,-1
6408,2017-01-23 06:00:00,626.54,884.37,14.61,-4.99,609.39,12.51,2017,1,-1
6409,2017-01-23 06:05:00,643.77,941.96,7.69,-11.36,621.84,4.38,2017,1,-1
6410,2017-01-23 06:10:00,664.79,996.17,4.16,-15.41,635.24,-1.21,2017,1,-1
6411,2017-01-23 06:15:00,686.02,958.03,6.89,-13.2,652.49,6.2,2017,1,-1
6412,2017-01-23 06:20:00,701.7,953.79,1.86,-22.71,665.24,-3.39,2017,1,-1
6413,2017-01-23 06:25:00,717.14,1003.8,8.74,-14.36,678.68,6.85,2017,1,-1
6414,2017-01-23 06:30:00,732.6,1034.84,3.36,-13.34,694.05,3.12,2017,1,-1
6415,2017-01-23 06:35:00,731.62,1005.69,4.29,-13.44,703.16,4.44,2017,1,-1
6416,2017-01-23 06:40:00,728.1,949.22,3.86,-13.96,703.78,3.6,2017,1,-1
6417,2017-01-23 06:45:00,748.73,984.39,-81.81,-108.76,719.17,-85.01,2017,1,-1
6418,2017-01-23 06:50:00,790.85,955.21,-57.3,-76.56,754.32,-49.88,2017,1,-1
6419,2017-01-23 06:55:00,751.56,903.25,26.45,15.52,741.8,28.98,2017,1,-1
6420,2017-01-23 07:00:00,713.62,816.32,-7.27,-25.47,711.41,-12.16,2017,1,-1
6421,2017-01-23 07:05:00,712.47,848.26,-51.79,-75.57,700.39,-53.72,2017,1,-1
6422,2017-01-23 07:10:00,765.77,946.57,-56.68,-81.25,735.9,-59.25,2017,1,-1
6423,2017-01-23 07:15:00,845.09,956.92,-41.36,-63.47,800.35,-38.53,2017,1,-1
6424,2017-01-23 07:20:00,829.24,932.3,-55.04,-77.69,796.13,-51.87,2017,1,-1
6425,2017-01-23 07:25:00,931.94,957.08,-58.58,-88.9,854.08,-59.76,2017,1,-1
6426,2017-01-23 07:30:00,978.61,989.45,-64.75,-86.26,892.86,-61.71,2017,1,-1
6427,2017-01-23 07:35:00,946.94,938.35,-83.33,-106.55,883.99,-84.63,2017,1,-1
6428,2017-01-23 07:40:00,876.27,889.85,-99.71,-124.27,849.99,-103.33,2017,1,-1
6429,2017-01-23 07:45:00,867.58,879.98,-114.12,-127.48,824.24,-110.29,2017,1,-1
6430,2017-01-23 07:50:00,909.78,927.38,-118.06,-134.74,859.17,-120.0,2017,1,-1
6431,2017-01-23 07:55:00,852.82,861.41,-128.81,-135.51,815.07,-126.41,2017,1,-1
